"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Derrick White",3000,"SA@DAL 12/12/2017 08:30PM ET",6.65,"SA"
"SG/SF","Darrun Hilliard",3000,"SA@DAL 12/12/2017 08:30PM ET",3.813,"SA"
"SF","Dorian Finney-Smith",3000,"SA@DAL 12/12/2017 08:30PM ET",5.875,"DAL"
"C","Jeff Withey",3000,"SA@DAL 12/12/2017 08:30PM ET",3.781,"DAL"
"PF/C","Josh McRoberts",3000,"SA@DAL 12/12/2017 08:30PM ET",0,"DAL"
"PF","Nerlens Noel",3000,"SA@DAL 12/12/2017 08:30PM ET",12.132,"DAL"
"PF/C","Johnathan Motley",3000,"SA@DAL 12/12/2017 08:30PM ET",0,"DAL"
"SG","Antonius Cleveland",3000,"SA@DAL 12/12/2017 08:30PM ET",5.393,"DAL"
"SG/SF","Furkan Korkmaz",3000,"PHI@MIN 12/12/2017 09:30PM ET",3.583,"PHI"
"SG/SF","Justin Anderson",3000,"PHI@MIN 12/12/2017 09:30PM ET",9.875,"PHI"
"PG","Jacob Pullen",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"PHI"
"PF","James Michael McAdoo",3000,"PHI@MIN 12/12/2017 09:30PM ET",5,"PHI"
"PG/SG","Aaron Brooks",3000,"PHI@MIN 12/12/2017 09:30PM ET",3.958,"MIN"
"C","Cole Aldrich",3000,"PHI@MIN 12/12/2017 09:30PM ET",1.15,"MIN"
"SG/SF","Anthony Brown",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"PHI@MIN 12/12/2017 09:30PM ET",0.917,"MIN"
"C","Justin Patton",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"MIN"
