"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Pascal Siakam_TOR",NA,NA,15,NA,10.75,NA,NA,19.5,NA,NA,11,NA,NA,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA,16.5,41.25,NA,19.25,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA,16.75,2.75,NA,24,NA
"Tyler Cavanaugh_ATL",NA,NA,NA,4.25,NA,16.75,11.5,NA,25.5,25.25,NA,12.5,NA,NA
"Mario Chalmers_MEM",NA,NA,0,NA,10.5,11.5,10,NA,22.25,NA,14.25,NA,11,NA
"Jahlil Okafor_BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA,1.25,NA,NA,18.25,NA,16.75,NA
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA,5.75,NA,NA,15.5,NA,19.25,NA
"Joe Johnson_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,13.75,NA
"Reggie Bullock_DET",NA,NA,0,NA,0,0,0,NA,0,11.5,NA,14.25,NA,NA
"Jakob Poeltl_TOR",NA,NA,10,NA,31.5,NA,NA,21.25,NA,NA,12.5,NA,NA,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA,14.75,NA,21,NA,0,NA,0,NA
"CJ Miles_TOR",NA,NA,11,NA,17.25,NA,NA,19.25,NA,NA,8.75,NA,NA,NA
"PJ Tucker_HOU",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,12,NA,30,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25,31.25,NA,16.25,0,22.5,NA,NA,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA,26.5,4.5,9.25,NA,NA,NA
"Jawun Evans_LAC",8.5,NA,NA,15,NA,9.25,NA,NA,14.5,NA,18.25,NA,12,NA
"Sam Dekker_LAC",17.5,NA,NA,11.75,NA,2.75,NA,NA,3.25,NA,21.5,NA,7.75,NA
"Marco Belinelli_ATL",NA,NA,NA,32,NA,18.5,13.5,NA,21.75,12,NA,5.5,NA,NA
"Glenn Robinson III_IND",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"Jordan Mickey_MIA",NA,0,4.5,NA,0,NA,NA,NA,0,NA,0,NA,27,NA
"Arron Afflalo_ORL",NA,NA,2.75,NA,2,NA,9.5,NA,6.5,NA,0,NA,NA,NA
"Dillon Brooks_MEM",NA,NA,13,NA,7.25,17.25,14,NA,8.75,NA,10.75,NA,18.75,NA
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA,15.25,13,NA,NA,13.75,NA,13.75,NA
"Luke Kennard_DET",NA,NA,27.5,NA,10.5,14.75,3.5,NA,9,3.5,NA,14.5,NA,NA
"Fred VanVleet_TOR",NA,NA,23.75,NA,27.5,NA,NA,21.5,NA,NA,13,NA,NA,NA
"OG Anunoby_TOR",NA,NA,5.25,NA,9.25,NA,NA,21.5,NA,NA,12,NA,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25,12,NA,8.5,12,NA
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA,21.5,5.75,NA,7.5,NA
"Jamil Wilson_LAC",0,NA,NA,7.75,NA,13,NA,NA,11.25,NA,14.75,NA,17.5,NA
"Shaun Livingston_GS",14.75,NA,7.25,NA,5,NA,0,NA,7.25,NA,NA,9.75,NA,NA
"Garrett Temple_SAC",25.75,21.5,NA,NA,28.25,24,NA,NA,12.5,4,NA,11.75,NA,27
"Nik Stauskas_BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
