"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Malik Monk",3400,"POR@CHA 12/16/2017 07:00PM ET",11.698,"CHA"
"PG","Michael Carter-Williams",3400,"POR@CHA 12/16/2017 07:00PM ET",14.047,"CHA"
"SF/PF","Dragan Bender",3400,"PHO@MIN 12/16/2017 08:00PM ET",12.525,"PHO"
"PG/SG","Ron Baker",3300,"OKC@NY 12/16/2017 07:30PM ET",10.925,"NY"
"C","Joakim Noah",3300,"OKC@NY 12/16/2017 07:30PM ET",9.625,"NY"
"PF","Caleb Swanigan",3300,"POR@CHA 12/16/2017 07:00PM ET",7.607,"POR"
"C","Nene Hilario",3300,"MIL@HOU 12/16/2017 08:00PM ET",14.184,"HOU"
"PG/SF","DeAndre Liggins",3300,"MIL@HOU 12/16/2017 08:00PM ET",7.707,"MIL"
"PF/C","Channing Frye",3200,"UTA@CLE 12/16/2017 07:30PM ET",9.556,"CLE"
"SF/PF","Lance Thomas",3200,"OKC@NY 12/16/2017 07:30PM ET",8.61,"NY"
"PF/C","Jarell Martin",3200,"BOS@MEM 12/16/2017 09:00PM ET",10.75,"MEM"
"SG/SF","Dwayne Bacon",3200,"POR@CHA 12/16/2017 07:00PM ET",9.587,"CHA"
"SF/PF","Luc Richard Mbah a Moute",3200,"MIL@HOU 12/16/2017 08:00PM ET",15.948,"HOU"
"PG/SG","Matthew Dellavedova",3200,"MIL@HOU 12/16/2017 08:00PM ET",12.962,"MIL"
"SF/PF","Mirza Teletovic",3200,"MIL@HOU 12/16/2017 08:00PM ET",13.175,"MIL"
"PG","Jawun Evans",3200,"LAC@MIA 12/16/2017 08:00PM ET",9.776,"LAC"
"PG/SG","Raymond Felton",3100,"OKC@NY 12/16/2017 07:30PM ET",13.722,"OKC"
"PG","Ramon Sessions",3100,"OKC@NY 12/16/2017 07:30PM ET",11.4,"NY"
"SG","Gary Payton II",3100,"MIL@HOU 12/16/2017 08:00PM ET",5.8,"MIL"
"PG","Bobby Brown",3100,"MIL@HOU 12/16/2017 08:00PM ET",4.132,"HOU"
"SG","Sindarius Thornwell",3100,"LAC@MIA 12/16/2017 08:00PM ET",8.442,"LAC"
"PF/C","Ekpe Udoh",3000,"UTA@CLE 12/16/2017 07:30PM ET",10.82,"UTA"
"SF","Royce O'Neale",3000,"UTA@CLE 12/16/2017 07:30PM ET",6.714,"UTA"
"SG/SF","Cedi Osman",3000,"UTA@CLE 12/16/2017 07:30PM ET",5.013,"CLE"
"PF/C","Ante Zizic",3000,"UTA@CLE 12/16/2017 07:30PM ET",3.775,"CLE"
"SG/SF","John Holland",3000,"UTA@CLE 12/16/2017 07:30PM ET",1.833,"CLE"
"C","Tony Bradley",3000,"UTA@CLE 12/16/2017 07:30PM ET",1.938,"UTA"
"PG","Nate Wolters",3000,"UTA@CLE 12/16/2017 07:30PM ET",1,"UTA"
"PG/SG","Dante Exum",3000,"UTA@CLE 12/16/2017 07:30PM ET",0,"UTA"
"PG","London Perrantes",3000,"UTA@CLE 12/16/2017 07:30PM ET",0,"CLE"
"SF/PF","Eric Griffin",3000,"UTA@CLE 12/16/2017 07:30PM ET",0,"UTA"
"SF/PF","Josh Huestis",3000,"OKC@NY 12/16/2017 07:30PM ET",6.512,"OKC"
"C","Dakari Johnson",3000,"OKC@NY 12/16/2017 07:30PM ET",5.313,"OKC"
"SG/SF","Terrance Ferguson",3000,"OKC@NY 12/16/2017 07:30PM ET",2.441,"OKC"
"PG/SG","PJ Dozier",3000,"OKC@NY 12/16/2017 07:30PM ET",0,"OKC"
"SF","Daniel Hamilton",3000,"OKC@NY 12/16/2017 07:30PM ET",0,"OKC"
"SG/SF","Kyle Singler",3000,"OKC@NY 12/16/2017 07:30PM ET",4.25,"OKC"
"PF/C","Nick Collison",3000,"OKC@NY 12/16/2017 07:30PM ET",3.583,"OKC"
"PF","Luke Kornet",3000,"OKC@NY 12/16/2017 07:30PM ET",0,"NY"
"PF","Isaiah Hicks",3000,"OKC@NY 12/16/2017 07:30PM ET",0,"NY"
"PF/C","Brandan Wright",3000,"BOS@MEM 12/16/2017 09:00PM ET",13.234,"MEM"
"PF/C","Deyonta Davis",3000,"BOS@MEM 12/16/2017 09:00PM ET",10.233,"MEM"
"PF","Abdel Nader",3000,"BOS@MEM 12/16/2017 09:00PM ET",4.212,"BOS"
"PF/C","Guerschon Yabusele",3000,"BOS@MEM 12/16/2017 09:00PM ET",4.861,"BOS"
"PG/SG","Wayne Selden Jr.",3000,"BOS@MEM 12/16/2017 09:00PM ET",8.25,"MEM"
"SG/SF","Gordon Hayward",3000,"BOS@MEM 12/16/2017 09:00PM ET",3.25,"BOS"
"SG","Kobi Simmons",3000,"BOS@MEM 12/16/2017 09:00PM ET",2,"MEM"
"SG","Jabari Bird",3000,"BOS@MEM 12/16/2017 09:00PM ET",3.667,"BOS"
"PF/C","Ivan Rabb",3000,"BOS@MEM 12/16/2017 09:00PM ET",0.75,"MEM"
"PF","Vince Hunter",3000,"BOS@MEM 12/16/2017 09:00PM ET",3,"MEM"
"SG","Kadeem Allen",3000,"BOS@MEM 12/16/2017 09:00PM ET",3,"BOS"
"SG/SF","Treveon Graham",3000,"POR@CHA 12/16/2017 07:00PM ET",11.324,"CHA"
"PF/C","Johnny O'Bryant III",3000,"POR@CHA 12/16/2017 07:00PM ET",8.5,"CHA"
"SF/PF","Jake Layman",3000,"POR@CHA 12/16/2017 07:00PM ET",3.692,"POR"
"PG/SG","Julyan Stone",3000,"POR@CHA 12/16/2017 07:00PM ET",9.625,"CHA"
"PG/SG","Wade Baldwin IV",3000,"POR@CHA 12/16/2017 07:00PM ET",0,"POR"
"PF/C","Mangok Mathiang",3000,"POR@CHA 12/16/2017 07:00PM ET",2.5,"CHA"
"PG","Marcus Paige",3000,"POR@CHA 12/16/2017 07:00PM ET",2.5,"CHA"
"SG/SF","CJ Wilcox",3000,"POR@CHA 12/16/2017 07:00PM ET",0,"POR"
