Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
SF/PF,Thaddeus Young,6200,IND@ATL 12/20/2017 07:30PM ET,28.194,IND,ATL,0.0,29.1,20.0,ATL,IND,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,James Johnson,6200,MIA@BOS 12/20/2017 07:30PM ET,26.455,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Dion Waiters,6200,MIA@BOS 12/20/2017 07:30PM ET,25.509,MIA,BOS,0.0,30.1,23.75,BOS,MIA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Zach Randolph,6200,SAC@BKN 12/20/2017 07:30PM ET,29.24,SAC,BKN,0.0,29.5,36.5,BKN,SAC,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Will Barton,6200,MIN@DEN 12/20/2017 09:00PM ET,30.784,DEN,MIN,0.0,30.4,24.25,DEN,MIN,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,TJ Warren,6200,PHO@LAC 12/20/2017 10:30PM ET,30.094,PHO,LAC,0.0,31.1,45.5,LAC,PHO,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Goran Dragic,6100,MIA@BOS 12/20/2017 07:30PM ET,29.862,MIA,BOS,0.0,0.0,0.0,BOS,MIA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Rondae Hollis-Jefferson,6100,SAC@BKN 12/20/2017 07:30PM ET,27.663,BKN,SAC,0.0,32.2,31.5,BKN,SAC,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Jeff Teague,6100,MIN@DEN 12/20/2017 09:00PM ET,31.083,MIN,DEN,0.0,30.9,36.5,DEN,MIN,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Kawhi Leonard,6000,SA@POR 12/20/2017 10:00PM ET,21.833,SA,POR,0.0,0.0,0.0,POR,SA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SF/PF,Andrew Wiggins,6000,MIN@DEN 12/20/2017 09:00PM ET,28.903,MIN,DEN,0.0,28.3,22.25,DEN,MIN,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG/SF,Josh Richardson,5900,MIA@BOS 12/20/2017 07:30PM ET,22.117,MIA,BOS,0.0,28.2,35.5,BOS,MIA,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PF/C,Serge Ibaka,5900,TOR@CHA 12/20/2017 07:00PM ET,25.91,TOR,CHA,0.0,26.6,37.75,CHA,TOR,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
