"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
68,954814419,"MSVS (10/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Markieff Morris","F","1.80%",6.75
68,954814420,"MSVS (11/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Kelly Oubre Jr.","UTIL","1.80%",26.25
68,954814421,"MSVS (12/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Mason Plumlee","C","1.80%",32.25
68,954814422,"MSVS (13/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Kawhi Leonard","SF","1.57%",26.5
68,954814423,"MSVS (14/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Gary Harris","SG","1.57%",36.5
68,954814424,"MSVS (15/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Kyle O'Quinn","C","1.57%",15.75
68,954814425,"MSVS (16/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Taurean Prince","SG","1.57%",41.75
68,954814426,"MSVS (17/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Mike Scott","PF","1.57%",15.75
68,954814427,"MSVS (18/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Dwyane Wade","UTIL","1.35%",0
68,954814428,"MSVS (19/20)",0,291,"F LeBron James C Kristaps Porzingis UTIL T.J. Warren PG Spencer Dinwiddie PF Julius Randle SF Josh Jackson SG Tomas Satoransky G Yogi Ferrell",NA,"Skal Labissiere","UTIL","1.35%",13.5
