"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA,0,4.5,NA,0
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0
"Tony Bradley_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Nate Wolters_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Dante Exum_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0
"Eric Griffin_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Josh Huestis_OKC",NA,NA,0,NA,4.75,NA,NA,0,NA,NA,8.75,NA
"Dakari Johnson_OKC",NA,NA,3.25,NA,0,NA,NA,0,NA,NA,0,NA
"Terrance Ferguson_OKC",NA,NA,0,NA,0,NA,NA,0,NA,NA,5.5,NA
"PJ Dozier_OKC",NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA
"Daniel Hamilton_OKC",NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA
"Kyle Singler_OKC",NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA
"Nick Collison_OKC",NA,NA,0,NA,4.25,NA,NA,0,NA,NA,0,NA
"Luke Kornet_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Isaiah Hicks_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Brandan Wright_MEM",NA,NA,0,NA,2,0,0,NA,0,NA,0,NA
"Deyonta Davis_MEM",NA,NA,4.5,NA,17.5,0,13.25,NA,1.25,NA,4,NA
"Abdel Nader_BOS",NA,NA,NA,0,NA,0,0,NA,7.5,NA,0,NA
"Guerschon Yabusele_BOS",NA,NA,NA,0,NA,0,0,NA,10.5,NA,0,NA
"Wayne Selden_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Gordon Hayward_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA
"Kobi Simmons_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Jabari Bird_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA
"Ivan Rabb_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Vince Hunter_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Kadeem Allen_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA
"Treveon Graham_CHA",NA,NA,0,NA,0,NA,0,NA,8.25,NA,8.75,NA
"Johnny O'Bryant III_CHA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"Jake Layman_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA
"Julyan Stone_CHA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"Wade Baldwin IV_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA
"Mangok Mathiang_CHA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"Marcus Paige_CHA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"CJ Wilcox_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA
"Tarik Black_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Rashad Vaughn_MIL",NA,0,NA,0,NA,0,0,NA,23.25,NA,6.5,NA
"Jason Terry_MIL",NA,12,NA,6,NA,10.75,7.25,NA,0,NA,0,NA
"Zhou Qi_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"DJ Wilson_MIL",NA,7.5,NA,0,NA,0,0,NA,0,NA,0,NA
"Joel Bolomboy_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,6.5,NA
"Sterling Brown_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA
"Demetrius Jackson_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Briante Weber_HOU",NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,0,NA
"Troy Williams_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Chinanu Onuaku_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"Patrick Beverley_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"Willie Reed_LAC",2.75,NA,NA,16.25,NA,2,NA,NA,0,NA,0,NA
"CJ Williams_LAC",11.75,NA,NA,10,NA,11.75,NA,NA,5,NA,11.25,NA
"Jamil Wilson_LAC",0,NA,NA,7.75,NA,13,NA,NA,11.25,NA,14.75,NA
"Jordan Mickey_MIA",NA,0,4.5,NA,0,NA,NA,NA,0,NA,0,NA
"Brice Johnson_LAC",0,NA,NA,0,NA,6.75,NA,NA,0,NA,0,NA
"Okaro White_MIA",NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA
"Rodney McGruder_MIA",NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA
"Derrick Walton_MIA",NA,3.25,0,NA,0,NA,NA,NA,0,NA,0,NA
"Matt Williams_MIA",NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA
"Udonis Haslem_MIA",NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA
"AJ Hammons_MIA",NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA
"Isaiah Canaan_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danuel House_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.75,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA,0,0,NA,7.75
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,7.75
"Alec Peters_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,4
"Davon Reed_PHO",NA,0,0,NA,NA,0,0,0,NA,0,0,NA
